Текст требования,Связанные элементы проекта
Система должна поддерживать вход через социальные сети.,['Аутентификация']
Пользователь должен иметь возможность изменять язык интерфейса.,['Интерфейс']
Администратор должен иметь возможность управлять правами доступа пользователей.,['Управление пользователями']
Система должна отправлять уведомления на электронную почту.,['Уведомления']
Сайт должен быть оптимизирован для мобильных устройств.,['Мобильная оптимизация']
Пользователь должен иметь возможность восстановить пароль через SMS-код.,['Уведомления']
Система должна поддерживать многоуровневую аутентификацию.,['История заказов']
Пользователь должен видеть историю своих заказов.,['Продажи']
Система должна предоставлять аналитические отчеты о продажах.,['Аутентификация']
Администратор должен иметь возможность создавать новых пользователей.,['Резервирование данных']
Система должна автоматически резервировать данные.,['Управление пользователями']
Пользователь должен иметь возможность удалять свой аккаунт.,['PayPal']
Система должна предоставлять возможность оплаты через PayPal.,['SSL']
Система должна поддерживать SSL-шифрование.,['Административный доступ']
Администратор должен иметь доступ к журналу системных событий.,['Управление пользователями']
Система должна предоставлять возможность создавать группы пользователей.,['Личные данные']
Пользователь должен иметь возможность изменять свои персональные данные.,['API']
Система должна предоставлять API для интеграции с другими сервисами.,['Управление товарами']
Администратор должен иметь возможность управлять товарами.,['Поиск товаров']
Система должна поддерживать поиск по товарам.,['Корзина покупок']
Пользователь должен иметь возможность добавлять товары в корзину.,['Уведомления']
Система должна отправлять уведомления о статусе заказа.,['Отзывы']
Пользователь должен иметь возможность читать отзывы о товарах.,['Банковские карты']
Система должна предоставлять возможность оплаты банковской картой.,['Электронный чек']
Система должна предоставлять возможность скачать электронный чек.,['Резервирование данных']
Система должна автоматически создавать резервные копии данных.,['Аутентификация']
Система должна поддерживать двухфакторную аутентификацию.,['Настройки уведомлений']
Пользователь должен иметь возможность изменять настройки уведомлений.,['Импорт/экспорт данных']
Система должна предоставлять возможность импорта и экспорта данных.,['Управление товарами']
Администратор должен иметь возможность управлять категориями товаров.,['Оценка товаров']
Система должна предоставлять возможность оценки товаров.,['Корзина покупок']
Пользователь должен иметь возможность отменить заказ до его отправки.,['Восстановление данных']
Система должна поддерживать восстановление данных после сбоя.,['Подписка на новости']
Система должна предоставлять возможность подписки на новости.,['История покупок']
Пользователь должен иметь возможность просматривать историю покупок.,['Получение']
Система должна предоставлять возможность оплаты при получении.,['Отчеты о продажах']
Система должна предоставлять возможность создавать отчеты о продажах.,['Статистика посещений']
Администратор должен иметь доступ к статистике посещений сайта.,['Управление складом']
Система должна предоставлять возможность управления складом.,['Отзывы']
Пользователь должен иметь возможность оставлять отзывы о товарах.,['Архивирование данных']
Система должна поддерживать архивирование данных.,['Скидки на товары']
Система должна предоставлять возможность установки скидок на товары.,['Управление пользователями']
Администратор должен иметь возможность удалять пользователей.,['Настройки интерфейса']
Система должна предоставлять возможность настройки тем оформления.,['Обновление программного обеспечения']
Система должна поддерживать механизм обновления программного обеспечения.,['Специальные предложения']
Пользователь должен иметь возможность просматривать специальные предложения.,['Импорт/экспорт товаров']
Система должна предоставлять возможность импорта каталога товаров из CSV файла.,['Мобильная адаптация']
Система должна автоматически адаптироваться под разные экраны устройств.,['Управление контентом']
Администратор должен иметь возможность управлять текстами на сайте.,['Чат поддержки']
Система должна предоставлять возможность оплаты банковской картой.,['Электронный чек']
Система должна предоставлять возможность создавать группы пользователей.,['Личные данные']
Система должна поддерживать восстановление данных после сбоя.,['Подписка на новости']
Система должна поддерживать архивирование данных.,['Скидки на товары']
Система должна поддерживать SSL-шифрование.,['Административный доступ']
Система должна поддерживать механизм обновления программного обеспечения.,['Специальные предложения']
Пользователь должен иметь возможность изменять настройки уведомлений.,['Импорт/экспорт данных']
Пользователь должен иметь возможность читать отзывы о товарах.,['Банковские карты']
Администратор должен иметь доступ к статистике посещений сайта.,['Управление складом']
Система должна поддерживать поиск по товарам.,['Корзина покупок']
Пользователь должен иметь возможность изменять свои персональные данные.,['API']
Система должна предоставлять возможность импорта и экспорта данных.,['Управление товарами']
Пользователь должен видеть историю своих заказов.,['Продажи']
Система должна предоставлять возможность управления складом.,['Отзывы']
Система должна предоставлять возможность оплаты через PayPal.,['SSL']
Сайт должен быть оптимизирован для мобильных устройств.,['Мобильная оптимизация']
Система должна отправлять уведомления о статусе заказа.,['Отзывы']
Система должна автоматически создавать резервные копии данных.,['Аутентификация']
Администратор должен иметь доступ к журналу системных событий.,['Управление пользователями']
Система должна поддерживать двухфакторную аутентификацию.,['Настройки уведомлений']
Администратор должен иметь возможность управлять правами доступа пользователей.,['Управление пользователями']
Пользователь должен иметь возможность отменить заказ до его отправки.,['Восстановление данных']
Пользователь должен иметь возможность просматривать историю покупок.,['Получение']
Система должна предоставлять возможность импорта каталога товаров из CSV файла.,['Мобильная адаптация']
Администратор должен иметь возможность удалять пользователей.,['Настройки интерфейса']
Пользователь должен иметь возможность восстановить пароль через SMS-код.,['Уведомления']
Система должна предоставлять возможность оценки товаров.,['Корзина покупок']
Система должна отправлять уведомления на электронную почту.,['Уведомления']
Система должна автоматически резервировать данные.,['Управление пользователями']
Система должна предоставлять возможность создавать отчеты о продажах.,['Статистика посещений']
Система должна предоставлять возможность скачать электронный чек.,['Резервирование данных']
Система должна автоматически адаптироваться под разные экраны устройств.,['Управление контентом']
Система должна предоставлять аналитические отчеты о продажах.,['Аутентификация']
Пользователь должен иметь возможность добавлять товары в корзину.,['Уведомления']
Пользователь должен иметь возможность просматривать специальные предложения.,['Импорт/экспорт товаров']
Система должна предоставлять возможность настройки тем оформления.,['Обновление программного обеспечения']
Администратор должен иметь возможность управлять категориями товаров.,['Оценка товаров']
Система должна предоставлять возможность оплаты при получении.,['Отчеты о продажах']
Администратор должен иметь возможность создавать новых пользователей.,['Резервирование данных']
Администратор должен иметь возможность управлять текстами на сайте.,['Чат поддержки']
Система должна предоставлять возможность подписки на новости.,['История покупок']
Система должна предоставлять возможность установки скидок на товары.,['Управление пользователями']
Пользователь должен иметь возможность оставлять отзывы о товарах.,['Архивирование данных']
Система должна поддерживать вход через социальные сети.,['Аутентификация']
Администратор должен иметь возможность управлять товарами.,['Поиск товаров']
Пользователь должен иметь возможность удалять свой аккаунт.,['PayPal']
Система должна поддерживать многоуровневую аутентификацию.,['История заказов']
Пользователь должен иметь возможность изменять язык интерфейса.,['Интерфейс']
Система должна предоставлять API для интеграции с другими сервисами.,['Управление товарами']
